time_ms,time_iso,open,high,low,close,volume_base,volume_quote
1779880500000,2026-05-27T11:15:00.000Z,75918.9,75989.9,75874.6,75874.6,207.0616,15724639.59851
1779881400000,2026-05-27T11:30:00.000Z,75874.6,75878.7,75752.5,75794.7,250.2678,18971705.50465
1779882300000,2026-05-27T11:45:00.000Z,75794.7,75794.8,75720,75730,164.8791,12489202.59286
1779883200000,2026-05-27T12:00:00.000Z,75730,75742.8,75562.8,75590,525.8629,39787635.14869
1779884100000,2026-05-27T12:15:00.000Z,75590,76139,75530,75907.7,1474.0186,111846097.29258
1779885000000,2026-05-27T12:30:00.000Z,75907.7,75960.5,75789,75893.7,455.2183,34543238.65005
1779885900000,2026-05-27T12:45:00.000Z,75893.7,75893.7,75651.2,75651.3,508.7884,38532128.47937
1779886800000,2026-05-27T13:00:00.000Z,75651.3,75736.1,75360.5,75410.8,1027.5171,77615218.48835
1779887700000,2026-05-27T13:15:00.000Z,75410.8,75455.3,75156.7,75160.8,1437.1411,108190901.43009
1779888600000,2026-05-27T13:30:00.000Z,75160.8,75297.1,74837,74904.4,2735.0283,205199238.3697
1779889500000,2026-05-27T13:45:00.000Z,74904.4,75079.2,74842.6,75055.9,1305.0327,97837819.47454
1779890400000,2026-05-27T14:00:00.000Z,75055.9,75257.2,74928.2,74991.3,1123.9727,84418452.9064
1779891300000,2026-05-27T14:15:00.000Z,74991.3,75156.7,74730,74856.6,1046.9908,78423079.54811
1779892200000,2026-05-27T14:30:00.000Z,74856.6,75115.8,74781.1,75049,924.8999,69327321.87179
1779893100000,2026-05-27T14:45:00.000Z,75049,75138.2,74980,75010,323.5189,24283701.39977
1779894000000,2026-05-27T15:00:00.000Z,75010,75130,74951.8,75097.4,449.4387,33726204.29133
1779894900000,2026-05-27T15:15:00.000Z,75097.4,75386.2,75072,75326,839.0307,63155652.41428
1779895800000,2026-05-27T15:30:00.000Z,75326,75484,75130,75179.3,899.5223,67771266.4695
1779896700000,2026-05-27T15:45:00.000Z,75179.3,75396,75168.6,75296.8,397.0072,29888762.91922
1779897600000,2026-05-27T16:00:00.000Z,75296.8,75380,75171,75257.2,349.5349,26310457.69267
1779898500000,2026-05-27T16:15:00.000Z,75257.2,75275.9,75008.5,75063.3,530.4842,39834840.06114
1779899400000,2026-05-27T16:30:00.000Z,75063.3,75132.8,74956.5,75114.3,396.4104,29748967.71458
1779900300000,2026-05-27T16:45:00.000Z,75114.3,75296.1,75086,75275.9,255.5195,19216392.17119
1779901200000,2026-05-27T17:00:00.000Z,75275.9,75327.6,74922.9,74942,771.6559,57985230.22932
1779902100000,2026-05-27T17:15:00.000Z,74942,75051.7,74864.9,74967.2,908.3324,68078341.33582
1779903000000,2026-05-27T17:30:00.000Z,74967.2,75009.4,74814.1,74868.8,427.7648,32042853.89453
1779903900000,2026-05-27T17:45:00.000Z,74868.8,74940,74637.7,74828.2,685.4904,51255410.15633
1779904800000,2026-05-27T18:00:00.000Z,74828.2,74912,74612,74700,593.0869,44334183.28685
1779905700000,2026-05-27T18:15:00.000Z,74700,74890,74666.1,74873.2,431.961,32310127.68816
1779906600000,2026-05-27T18:30:00.000Z,74873.2,74970.7,74850,74947.5,339.2607,25411526.80977
1779907500000,2026-05-27T18:45:00.000Z,74947.5,75010.2,74917.3,75000,172.8345,12956410.93197
1779908400000,2026-05-27T19:00:00.000Z,75000,75038,74934.2,75017.1,249.516,18711487.80139
1779909300000,2026-05-27T19:15:00.000Z,75017.1,75055,74943.5,75009.2,155.1706,11640788.00564
1779910200000,2026-05-27T19:30:00.000Z,75009.2,75079,74940,74979.9,338.0517,25360412.74318
1779911100000,2026-05-27T19:45:00.000Z,74979.9,75045.3,74915.7,75034.2,185.7189,13929008.7153
1779912000000,2026-05-27T20:00:00.000Z,75034.2,75283.2,75020.1,75271.1,803.7366,60410354.42435
1779912900000,2026-05-27T20:15:00.000Z,75271.1,75388,75233.3,75244.9,336.4609,25342391.3488
1779913800000,2026-05-27T20:30:00.000Z,75244.9,75259.5,75180.1,75224.2,110.6629,8323445.64457
1779914700000,2026-05-27T20:45:00.000Z,75224.2,75259.9,75205,75240.1,91.0575,6851211.5825
1779915600000,2026-05-27T21:00:00.000Z,75240.1,75240.1,75114.6,75136.1,141.3305,10623071.70336
1779916500000,2026-05-27T21:15:00.000Z,75136.1,75180,75066.1,75066.1,118.8147,8926860.83787
1779917400000,2026-05-27T21:30:00.000Z,75066.1,75077.5,74400,74591.6,1455.4212,108694947.82307
1779918300000,2026-05-27T21:45:00.000Z,74591.6,74591.6,74311,74444.9,1498.5531,111497439.98831
1779919200000,2026-05-27T22:00:00.000Z,74444.9,74747.3,74283.4,74372.7,1306.9095,97349826.91403
1779920100000,2026-05-27T22:15:00.000Z,74372.7,74627.5,74236.8,74573.1,595.6815,44350619.42427
1779921000000,2026-05-27T22:30:00.000Z,74573.1,74639.9,74453.4,74598,350.7124,26157827.4137
1779921900000,2026-05-27T22:45:00.000Z,74598,74630.1,74388.2,74399.4,277.7756,20689537.84936
1779922800000,2026-05-27T23:00:00.000Z,74399.4,74450,74333.3,74425.2,266.0105,19793367.56183
1779923700000,2026-05-27T23:15:00.000Z,74425.2,74549.9,74208.1,74278.7,745.4542,55402642.18977
1779924600000,2026-05-27T23:30:00.000Z,74278.7,74379.1,74232.2,74350.8,355.3316,26406015.40108
1779925500000,2026-05-27T23:45:00.000Z,74350.8,74459.9,74280,74420,369.6463,27500335.72597
1779926400000,2026-05-28T00:00:00.000Z,74420,74560,74400.1,74406.2,392.5184,29242651.99264
1779927300000,2026-05-28T00:15:00.000Z,74406.2,74545,74340,74452.9,246.2865,18340114.6224
1779928200000,2026-05-28T00:30:00.000Z,74452.9,74550,74446.2,74544.9,141.5662,10547952.33652
1779929100000,2026-05-28T00:45:00.000Z,74544.9,74555.7,74422.5,74543.5,162.8531,12133331.33806
1779930000000,2026-05-28T01:00:00.000Z,74543.5,74565.5,74420,74450,113.1774,8431897.85664
1779930900000,2026-05-28T01:15:00.000Z,74450,74516.9,74123,74257.9,1228.6872,91241134.13554
1779931800000,2026-05-28T01:30:00.000Z,74257.9,74380.9,74132.6,74243.6,542.4112,40266976.37617
1779932700000,2026-05-28T01:45:00.000Z,74243.6,74356.8,74224.1,74317.2,218.644,16246761.8699
1779933600000,2026-05-28T02:00:00.000Z,74317.2,74382.8,74210,74331.3,202.5359,15046527.83377
1779934500000,2026-05-28T02:15:00.000Z,74331.3,74357.6,74144.1,74189.5,360.597,26762038.20985
1779935400000,2026-05-28T02:30:00.000Z,74189.5,74270.5,74077.7,74233.8,446.5294,33113982.582
1779936300000,2026-05-28T02:45:00.000Z,74233.8,74339.9,74210,74260.2,180.4076,13401735.71862
1779937200000,2026-05-28T03:00:00.000Z,74260.2,74353.5,74100,74183.8,348.4509,25864071.44346
1779938100000,2026-05-28T03:15:00.000Z,74183.8,74210,73404.6,73716.1,4073.8952,300351017.71683
1779939000000,2026-05-28T03:30:00.000Z,73716.1,73759.5,73324.7,73405.9,2420.824,177922109.99689
1779939900000,2026-05-28T03:45:00.000Z,73405.9,73545.8,73038.4,73232.9,2878.5743,210828303.20714
1779940800000,2026-05-28T04:00:00.000Z,73232.9,73232.9,72700,73056.9,3092.6427,225783308.23675
1779941700000,2026-05-28T04:15:00.000Z,73056.9,73099,72783.3,72977.9,1154.9955,84222000.36268
1779942600000,2026-05-28T04:30:00.000Z,72977.9,73177,72921.1,73155.4,626.6493,45787627.56278
