time_ms,time_iso,open,high,low,close,volume_base,volume_quote
1658160000000,2022-07-18T16:00:00.000Z,22682,23197,21403,23130.5,327085.346,7250408304.4155
1658246400000,2022-07-19T16:00:00.000Z,23130.5,24270,22942,24167.5,272302.372,6409498454.821
1658332800000,2022-07-20T16:00:00.000Z,24167.5,24195,22338,22637.5,260908.666,6020309631.327
1658419200000,2022-07-21T16:00:00.000Z,22637.5,23768,22627.5,23279,234979.071,5456258022.3045
1658505600000,2022-07-22T16:00:00.000Z,23279,23329.5,22050,22208,196419.427,4452450720.551
1658592000000,2022-07-23T16:00:00.000Z,22208,22904.5,21934.5,22850,183468.089,4129440966.8785
1658678400000,2022-07-24T16:00:00.000Z,22850,23006.5,21681.5,21884.5,196355.195,4352931578.138
1658764800000,2022-07-25T16:00:00.000Z,21884.5,22245,20709,20733,201494.103,4290669845.497
1658851200000,2022-07-26T16:00:00.000Z,20733,21543,20730,21529.5,181220.594,3836607985.0445
1658937600000,2022-07-27T16:00:00.000Z,21529.5,23987,21456.5,23748,291547.643,6653339107.2975
1659024000000,2022-07-28T16:00:00.000Z,23748,24459.5,23421,24013.5,224293.906,5361190125.694
1659110400000,2022-07-29T16:00:00.000Z,24013.5,24685,23612,24526,163329.074,3919951402.7655
1659196800000,2022-07-30T16:00:00.000Z,24526,24598,23509.5,23757,148662.895,3546885656.7845
1659283200000,2022-07-31T16:00:00.000Z,23757,24179,22936.5,23317.5,182028.309,4255032310.0435
1659369600000,2022-08-01T16:00:00.000Z,23317.5,23429.5,22645.5,22961.5,203722.205,4672144671.6095
1659456000000,2022-08-02T16:00:00.000Z,22961.5,23645.5,22676.5,23360,202829.22,4696431878.9585
1659542400000,2022-08-03T16:00:00.000Z,23360,23574,22710.5,22909.5,192161.226,4426415965.484
1659628800000,2022-08-04T16:00:00.000Z,22909.5,23473.5,22379,22989.5,196776.384,4521634327.7145
1659715200000,2022-08-05T16:00:00.000Z,22989.5,23338.5,22743.5,23189,109685.95,2534803069.9595
1659801600000,2022-08-06T16:00:00.000Z,23189,23246,22839,23008,111193.889,2561865710.77
1659888000000,2022-08-07T16:00:00.000Z,23008,24246,22985,23996,190601.859,4510404883.4195
1659974400000,2022-08-08T16:00:00.000Z,23996,24106.5,22856,23062,184045.747,4339685392.133
1660060800000,2022-08-09T16:00:00.000Z,23062,24164.5,22644.5,23996,193974.443,4519496025.883
1660147200000,2022-08-10T16:00:00.000Z,23996,24925.5,23484,24348,211754.466,5159025821.166
