time_ms,time_iso,open,high,low,close,volume_base,volume_quote
1769691600000,2026-01-29T13:00:00.000Z,88075.4,88132,87903.9,88008.3,508.2619,44752343.44275
1769695200000,2026-01-29T14:00:00.000Z,88008.3,88034.5,86967.2,86982.3,3847.698,336718904.83046
1769698800000,2026-01-29T15:00:00.000Z,86982.3,87007.6,84333.1,84911.4,15999.4539,1367765901.12577
1769702400000,2026-01-29T16:00:00.000Z,84911.4,85370,84241.7,85237.3,5240.7051,443896442.91664
1769706000000,2026-01-29T17:00:00.000Z,85237.3,85598.9,83948.2,84234.4,5996.7884,508760030.45591
1769709600000,2026-01-29T18:00:00.000Z,84234.4,84610,83368.1,83438,6202.1343,520426667.24516
1769713200000,2026-01-29T19:00:00.000Z,83438,84298.9,83321.3,83975.9,3194.1103,267955012.36876
1769716800000,2026-01-29T20:00:00.000Z,83975.9,84377.9,83785.9,84193.2,1266.0046,106404483.57017
1769720400000,2026-01-29T21:00:00.000Z,84193.2,84629.6,84168.6,84492.5,1078.0641,90985009.22261
1769724000000,2026-01-29T22:00:00.000Z,84492.5,84588.5,84263.3,84530.1,617.4869,52139361.05205
1769727600000,2026-01-29T23:00:00.000Z,84530.1,84700,84400,84610.4,906.6685,76701755.7113
1769731200000,2026-01-30T00:00:00.000Z,84610.4,84704,84107.7,84157.4,1217.3372,102710753.54611
1769734800000,2026-01-30T01:00:00.000Z,84157.4,84160,81058.8,82442.1,13084.5595,1077775681.50784
1769738400000,2026-01-30T02:00:00.000Z,82442.1,82517.1,81123,82130.4,5438.4291,444879965.51229
1769742000000,2026-01-30T03:00:00.000Z,82130.4,82717.6,82001.7,82643.6,1996.2741,164416643.84189
1769745600000,2026-01-30T04:00:00.000Z,82643.6,83300,82643.6,82898.4,1963.7663,162943264.94841
1769749200000,2026-01-30T05:00:00.000Z,82898.4,83294,82857.1,82868,957.5053,79530690.55664
1769752800000,2026-01-30T06:00:00.000Z,82868,82869,82004.7,82554.7,2904.9031,239560233.15119
1769756400000,2026-01-30T07:00:00.000Z,82554.7,83060,82424.9,82764.1,2026.7585,167697665.08232
1769760000000,2026-01-30T08:00:00.000Z,82764.1,82937,82387.3,82631.3,1000.8511,82680620.32713
1769763600000,2026-01-30T09:00:00.000Z,82631.3,82796,82115.5,82324.9,1579.5687,130178740.9279
1769767200000,2026-01-30T10:00:00.000Z,82324.9,82858.1,82120,82796.1,1131.5133,93345868.3835
1769770800000,2026-01-30T11:00:00.000Z,82796.1,83275.8,82637.3,83109.7,1172.696,97227533.41356
1769774400000,2026-01-30T12:00:00.000Z,83109.7,83285,82590,82754.2,1489.3681,123459553.99394
