time_ms,time_iso,open,high,low,close,volume_base,volume_quote
1569859200000,2019-09-30T16:00:00.000Z,8285,10368,7299.5,9213.5,3080600.5734,25971246726.52895
1572537600000,2019-10-31T16:00:00.000Z,9213.5,9508,6515,7537,2026395.7375,17549388660.8374
1575129600000,2019-11-30T16:00:00.000Z,7537,7750,6434,7195,1392612.7955,10054896794.7117
1577808000000,2019-12-31T16:00:00.000Z,7195,9577.5,6871,9338.5,3138312.7242,26340038077.21625
1580486400000,2020-01-31T16:00:00.000Z,9338.5,10505.5,8441,8648,3205817.9205,30920836142.09665
1582992000000,2020-02-29T16:00:00.000Z,8648,9188,3794.5,6452,5061483.5891,33319351603.11485
1585670400000,2020-03-31T16:00:00.000Z,6452,9455,6150,8780,3682324.4772,26331800393.4239
1588262400000,2020-04-30T16:00:00.000Z,8780,10070,8093,9479.5,3776522.601,34768320035.3805
1590940800000,2020-05-31T16:00:00.000Z,9479.5,10400.5,8820,9168.5,3189945.761,30211064897.819
1593532800000,2020-06-30T16:00:00.000Z,9168.5,11450,8902,11355,3020515.452,28831880455.726
1596211200000,2020-07-31T16:00:00.000Z,11355,12496.5,10510,11748.5,3044986.823,35420433638.375
1598889600000,2020-08-31T16:00:00.000Z,11748.5,12061.5,9822.5,10773,2905243.226,30977106061.291
1601481600000,2020-09-30T16:00:00.000Z,10773,14139.5,10370.5,13840.5,2162374.647,24648364931.41
1604160000000,2020-10-31T16:00:00.000Z,13840.5,19942,13196.5,19344,2017112.153,33783382289.2935
1606752000000,2020-11-30T16:00:00.000Z,19344,29358,17566,28792,2263577.476,49151935910.9515
1609430400000,2020-12-31T16:00:00.000Z,28792,42075.5,27861,32901.5,3549000.513,123072907358.1575
1612108800000,2021-01-31T16:00:00.000Z,32901.5,58468,32209,43424,2357175.178,107857857479.5835
1614528000000,2021-02-28T16:00:00.000Z,43424,61907.5,43014.5,59324.5,2659184.035,143655672933.304
1617206400000,2021-03-31T16:00:00.000Z,59324.5,64996,46989.5,57141.5,2194432.267,125017148337.528
1619798400000,2021-04-30T16:00:00.000Z,57141.5,59638.5,28986,36965.5,1752428.084,84320303239.881
1622476800000,2021-05-31T16:00:00.000Z,36950,41313.5,28866,34198,218911.728,7993228428.187
1625068800000,2021-06-30T16:00:00.000Z,34197,42350,29278.5,41541.5,27538.692,962489217.551
1627747200000,2021-07-31T16:00:00.000Z,41531,50540,37283.5,47424.5,45299.34,2099620693.5655
1630425600000,2021-08-31T16:00:00.000Z,47427.5,53066,39526.5,43141.5,945967.471,42320123080.2795
1633017600000,2021-09-30T16:00:00.000Z,43141.5,67124.5,42822,60478,1626711.954,93939710200.2
1635696000000,2021-10-31T16:00:00.000Z,60478,69145.5,53272.5,57248.5,1944161.429,117565016120.204
1638288000000,2021-11-30T16:00:00.000Z,57256,59078,41622.5,47945,2912172.767,143640517741.1435
1640966400000,2021-12-31T16:00:00.000Z,47945,48105,32921,37709,4712311.819,190741917178.56
1643644800000,2022-01-31T16:00:00.000Z,37709,45850,34314,40822,4398239.092,177963573810.136
1646064000000,2022-02-28T16:00:00.000Z,40822,48200,37133,46444.5,5006063.653,208003631921.8665
1648742400000,2022-03-31T16:00:00.000Z,46444.5,47469,37673,38444,3680526.569,152434816641.365
1651334400000,2022-04-30T16:00:00.000Z,38444,40044,26612,32057.5,5883408.357,185864739798.931
1654012800000,2022-05-31T16:00:00.000Z,32057.5,32420,17590,19124,8274216.184,195179687709.8635
1656604800000,2022-06-30T16:00:00.000Z,19124,24685,18616.5,23757,8188075.852,173160383476.422
1659283200000,2022-07-31T16:00:00.000Z,23757,25207,19506.5,20130,5742997.271,128932048245.9765
1661961600000,2022-08-31T16:00:00.000Z,20130,22790,18135.5,19756.5,6360082.767,125681100924.431
1664553600000,2022-09-30T16:00:00.000Z,19756.5,21089,18130,20388,5458264.168,107190544375.571
1667232000000,2022-10-31T16:00:00.000Z,20388,21476,15453,16863.5,6363712.233,112185046404.7755
1669824000000,2022-11-30T16:00:00.000Z,16863.5,18380,16246,16589,4748871.205,80660913682.3995
1672502400000,2022-12-31T16:00:00.000Z,16589,23970,16474.5,23110,6196946.816,126544286119.724
1675180800000,2023-01-31T16:00:00.000Z,23110,25283.5,21340,23509,5305084.513,124046487279.574
1677600000000,2023-02-28T16:00:00.000Z,23509,29185,19542,28492.5,6446086.743,159731559691.4155
