timestamp,datetime,open,high,low,close,volume,quoteVolume
1788802800000,2026-09-07T17:40:00.000Z,1.396,1.3979,1.3958,1.3974,68940,
1788803100000,2026-09-07T17:45:00.000Z,1.3974,1.3984,1.3972,1.398,220046,
1788803400000,2026-09-07T17:50:00.000Z,1.398,1.3998,1.398,1.3981,355618,
1788803700000,2026-09-07T17:55:00.000Z,1.3981,1.3984,1.397,1.3976,191739,
1788804000000,2026-09-07T18:00:00.000Z,1.3976,1.3982,1.3964,1.3968,104740,
1788804300000,2026-09-07T18:05:00.000Z,1.3968,1.3989,1.3957,1.3962,164031,
1788804600000,2026-09-07T18:10:00.000Z,1.3962,1.3975,1.3959,1.3964,158363,
1788804900000,2026-09-07T18:15:00.000Z,1.3964,1.3964,1.3937,1.396,274707,
1788805200000,2026-09-07T18:20:00.000Z,1.396,1.3976,1.3943,1.3952,80604,
1788805500000,2026-09-07T18:25:00.000Z,1.3952,1.3964,1.3936,1.3944,176175,
1788805800000,2026-09-07T18:30:00.000Z,1.3944,1.3946,1.3921,1.3925,130804,
1788806100000,2026-09-07T18:35:00.000Z,1.3925,1.3949,1.3925,1.394,109322,
1788806400000,2026-09-07T18:40:00.000Z,1.394,1.396,1.3937,1.3956,197222,
1788806700000,2026-09-07T18:45:00.000Z,1.3956,1.3967,1.3956,1.3967,124545,
1788807000000,2026-09-07T18:50:00.000Z,1.3967,1.3975,1.3957,1.3962,194390,
1788807300000,2026-09-07T18:55:00.000Z,1.3962,1.3963,1.394,1.394,151180,
1788807600000,2026-09-07T19:00:00.000Z,1.394,1.3944,1.3926,1.3939,276824,
1788807900000,2026-09-07T19:05:00.000Z,1.3939,1.3951,1.3931,1.3933,203800,
1788808200000,2026-09-07T19:10:00.000Z,1.3933,1.3939,1.3927,1.3936,120727,
1788808500000,2026-09-07T19:15:00.000Z,1.3936,1.3947,1.3935,1.3941,148714,
1788808800000,2026-09-07T19:20:00.000Z,1.3941,1.397,1.3941,1.397,113565,
1788809100000,2026-09-07T19:25:00.000Z,1.397,1.3973,1.3959,1.3963,93052,
1788809400000,2026-09-07T19:30:00.000Z,1.3963,1.401,1.3963,1.4002,505648,
1788809700000,2026-09-07T19:35:00.000Z,1.4002,1.4012,1.3994,1.4003,262615,
1788810000000,2026-09-07T19:40:00.000Z,1.4003,1.4007,1.3996,1.3996,43810,
1788810300000,2026-09-07T19:45:00.000Z,1.3996,1.4008,1.3993,1.4003,159209,
1788810600000,2026-09-07T19:50:00.000Z,1.4003,1.4025,1.4,1.4009,530568,
1788810900000,2026-09-07T19:55:00.000Z,1.4009,1.4016,1.4,1.4012,303718,
1788811200000,2026-09-07T20:00:00.000Z,1.4012,1.4022,1.3986,1.3986,775523,
1788811500000,2026-09-07T20:05:00.000Z,1.3986,1.3986,1.3949,1.3971,680647,
1788811800000,2026-09-07T20:10:00.000Z,1.3971,1.3979,1.3956,1.3957,511478,
1788812100000,2026-09-07T20:15:00.000Z,1.3957,1.3979,1.3954,1.3978,108065,
1788812400000,2026-09-07T20:20:00.000Z,1.3978,1.3979,1.3961,1.397,66743,
1788812700000,2026-09-07T20:25:00.000Z,1.397,1.3985,1.3966,1.3981,312309,
1788813000000,2026-09-07T20:30:00.000Z,1.3981,1.3994,1.3973,1.3986,133217,
1788813300000,2026-09-07T20:35:00.000Z,1.3986,1.3993,1.398,1.3984,54077,
1788813600000,2026-09-07T20:40:00.000Z,1.3984,1.3989,1.3974,1.3987,276856,
1788813900000,2026-09-07T20:45:00.000Z,1.3987,1.3993,1.3971,1.3987,1404252,
1788814200000,2026-09-07T20:50:00.000Z,1.3987,1.3997,1.3976,1.3982,479620,
1788814500000,2026-09-07T20:55:00.000Z,1.3982,1.3991,1.3977,1.3979,50338,
1788814800000,2026-09-07T21:00:00.000Z,1.3979,1.3997,1.3979,1.3992,83477,
1788815100000,2026-09-07T21:05:00.000Z,1.3992,1.3993,1.3979,1.3979,37552,
1788815400000,2026-09-07T21:10:00.000Z,1.3979,1.3999,1.3967,1.3999,573118,
1788815700000,2026-09-07T21:15:00.000Z,1.3999,1.4,1.3974,1.3987,1062296,
1788816000000,2026-09-07T21:20:00.000Z,1.3987,1.3994,1.3987,1.3993,64924,
1788816300000,2026-09-07T21:25:00.000Z,1.3993,1.3996,1.3982,1.3986,144183,
1788816600000,2026-09-07T21:30:00.000Z,1.3986,1.3993,1.3974,1.3974,135260,
1788816900000,2026-09-07T21:35:00.000Z,1.3974,1.3974,1.3964,1.3968,44058,
1788817200000,2026-09-07T21:40:00.000Z,1.3968,1.3973,1.3957,1.3967,154971,
1788817500000,2026-09-07T21:45:00.000Z,1.3967,1.3967,1.3949,1.395,143346,
1788817800000,2026-09-07T21:50:00.000Z,1.395,1.3959,1.3944,1.3956,62880,
1788818100000,2026-09-07T21:55:00.000Z,1.3956,1.3975,1.3956,1.3962,113662,
1788818400000,2026-09-07T22:00:00.000Z,1.3962,1.3965,1.3916,1.3939,663605,
1788818700000,2026-09-07T22:05:00.000Z,1.3939,1.3958,1.3924,1.3954,702191,
1788819000000,2026-09-07T22:10:00.000Z,1.3954,1.3975,1.3937,1.3937,1218503,
